context,result,question,A,B,C,D
"Thầy giáo dạy cấp một của tôi có một khoảnh vườn tí tẹo, chỉ độ vài mét vuông. Mọc um tùm với nhau là những thứ quen thuộc: xương sông, lá lốt, bạc hà, kinh giới. Có cả cây ớt lẫn cây hoa hồng lúc nào cũng bừng lên bônh hao rức rỡ. Đặc biệt là viền bốn xung quanh mảnh vườn có hàng tóc tiên, xanh và mềm quanh năm. Chắc là những cô tiên không bao giờ già, tóc không bao giờ bạc nên thứ cỏ này mới có tên gọi như thế.

Mùa hè, tôi thường đến nhà thầy, đúng mùa hoa tóc tiên. Sáng sáng hoa tóc tiên đua nhau nở rộ như đua nhau khoe màu, biến đường viền xanh thành đường viền hồng cánh sen. Cầm một bông tóc tiên thường là năm cánh, mỏng như lụa, còn mát sương đêm, sẽ thấy mùi hương ngòn ngọt và thơm thơm của phong bánh đậu Hải Dương, muốn ăn ngay.

Thầy thường sai tôi ra ngắt dăm bông cắm vào chiếc cốc thủy tinh trong suốt, có nước mưa cũng trong suốt, để lên bàn thầy. Cốc hoa tóc tiên trông mới tinh khiết làm sao, tưởng như tôi vừa cắm cả buổi sáng vào trong cốc, mà cũng tưởng như đó là nếp sống của thầy, tinh khiết, giản dị, trong sáng, trong sáng từ trong đến ngoài.

Bây giờ nhiều nơi trồng tóc tiên, hoa tóc tiên có ở nhiều nhà, nhiều vườn, có cả hoa màu trắng, nhưng ít ai cắm hoa tóc tiên trong bình.

Riêng tôi, tôi nhớ cốc hoa tóc tiên trên bàn thầy giáo cách đây mấy chục năm ở một cái thôn hẻo lánh, hoa có màu cánh sen nhẹ, lá thì xanh biếc, còn hương thơm thì thoảng nhẹ và ngon lành như một thứ bánh. Thầy giáo tôi đã mất nhưng chắc ở trên trời, thầy vẫn có cốc hoa tóc tiên tinh khiết của mình ...",[A],Tác giả so sánh mùi thơm của hoa tóc tiên với gì?,Mùi thơm ngọt của phong bánh đậu Hải Dương.,Mùi thơm mát của sương đêm.,Mùi thơm ngon lành của một loại bánh.,Mùi thơm dịu dàng.
"Thầy giáo dạy cấp một của tôi có một khoảnh vườn tí tẹo, chỉ độ vài mét vuông. Mọc um tùm với nhau là những thứ quen thuộc: xương sông, lá lốt, bạc hà, kinh giới. Có cả cây ớt lẫn cây hoa hồng lúc nào cũng bừng lên bônh hao rức rỡ. Đặc biệt là viền bốn xung quanh mảnh vườn có hàng tóc tiên, xanh và mềm quanh năm. Chắc là những cô tiên không bao giờ già, tóc không bao giờ bạc nên thứ cỏ này mới có tên gọi như thế.

Mùa hè, tôi thường đến nhà thầy, đúng mùa hoa tóc tiên. Sáng sáng hoa tóc tiên đua nhau nở rộ như đua nhau khoe màu, biến đường viền xanh thành đường viền hồng cánh sen. Cầm một bông tóc tiên thường là năm cánh, mỏng như lụa, còn mát sương đêm, sẽ thấy mùi hương ngòn ngọt và thơm thơm của phong bánh đậu Hải Dương, muốn ăn ngay.

Thầy thường sai tôi ra ngắt dăm bông cắm vào chiếc cốc thủy tinh trong suốt, có nước mưa cũng trong suốt, để lên bàn thầy. Cốc hoa tóc tiên trông mới tinh khiết làm sao, tưởng như tôi vừa cắm cả buổi sáng vào trong cốc, mà cũng tưởng như đó là nếp sống của thầy, tinh khiết, giản dị, trong sáng, trong sáng từ trong đến ngoài.

Bây giờ nhiều nơi trồng tóc tiên, hoa tóc tiên có ở nhiều nhà, nhiều vườn, có cả hoa màu trắng, nhưng ít ai cắm hoa tóc tiên trong bình.

Riêng tôi, tôi nhớ cốc hoa tóc tiên trên bàn thầy giáo cách đây mấy chục năm ở một cái thôn hẻo lánh, hoa có màu cánh sen nhẹ, lá thì xanh biếc, còn hương thơm thì thoảng nhẹ và ngon lành như một thứ bánh. Thầy giáo tôi đã mất nhưng chắc ở trên trời, thầy vẫn có cốc hoa tóc tiên tinh khiết của mình ...",[B],"Ngắm cốc hoa tóc tiên tinh khiết, tác giả liên tưởng đến điều gì?",Một thứ lụa mỏng manh và tóc những cô tiên.,Buổi sáng và nếp sống của thầy giáo.,Những giọt sương đêm.,Những giọ nước tinh khôi.
"Thầy giáo dạy cấp một của tôi có một khoảnh vườn tí tẹo, chỉ độ vài mét vuông. Mọc um tùm với nhau là những thứ quen thuộc: xương sông, lá lốt, bạc hà, kinh giới. Có cả cây ớt lẫn cây hoa hồng lúc nào cũng bừng lên bônh hao rức rỡ. Đặc biệt là viền bốn xung quanh mảnh vườn có hàng tóc tiên, xanh và mềm quanh năm. Chắc là những cô tiên không bao giờ già, tóc không bao giờ bạc nên thứ cỏ này mới có tên gọi như thế.

Mùa hè, tôi thường đến nhà thầy, đúng mùa hoa tóc tiên. Sáng sáng hoa tóc tiên đua nhau nở rộ như đua nhau khoe màu, biến đường viền xanh thành đường viền hồng cánh sen. Cầm một bông tóc tiên thường là năm cánh, mỏng như lụa, còn mát sương đêm, sẽ thấy mùi hương ngòn ngọt và thơm thơm của phong bánh đậu Hải Dương, muốn ăn ngay.

Thầy thường sai tôi ra ngắt dăm bông cắm vào chiếc cốc thủy tinh trong suốt, có nước mưa cũng trong suốt, để lên bàn thầy. Cốc hoa tóc tiên trông mới tinh khiết làm sao, tưởng như tôi vừa cắm cả buổi sáng vào trong cốc, mà cũng tưởng như đó là nếp sống của thầy, tinh khiết, giản dị, trong sáng, trong sáng từ trong đến ngoài.

Bây giờ nhiều nơi trồng tóc tiên, hoa tóc tiên có ở nhiều nhà, nhiều vườn, có cả hoa màu trắng, nhưng ít ai cắm hoa tóc tiên trong bình.

Riêng tôi, tôi nhớ cốc hoa tóc tiên trên bàn thầy giáo cách đây mấy chục năm ở một cái thôn hẻo lánh, hoa có màu cánh sen nhẹ, lá thì xanh biếc, còn hương thơm thì thoảng nhẹ và ngon lành như một thứ bánh. Thầy giáo tôi đã mất nhưng chắc ở trên trời, thầy vẫn có cốc hoa tóc tiên tinh khiết của mình ...",[A],Hoa thuỷ tiên có bao nhiêu cánh?,5 cánh.,3 cánh.,2 cánh.,4 cánh.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[C],Bầu trời ngoài cửa sổ của bé Hà có đặc điểm gì?,Đầy ánh sáng.,Đầy màu sắc.,"Đầy ánh sáng, đầy màu sắc.",Đầy sắc màu đỏ và tím.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[B],Từ “búp vàng” trong câu “Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”.” chỉ gì?,Chỉ vàng anh.,Ngọn bạch đàn.,Ánh nắng trời.,Ánh sáng thời đại.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[B],Vì sao nói đàn chim đã bay đi nhưng tiếng hót như “đọng mãi giữa bầu trời ngoài cửa sổ”?,Vì tiếng hót còn ngân nga mãi trong không gian.,Vì tiếng hót cứ âm vang mãi trong tâm trí của bé Hà.,Vì tiếng hót còn lưu luyến mãi với cửa sổ của bé Hà.,Vì có tiếng chim thanh thót.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[A],Câu hỏi “Sao chú vàng anh này đẹp thế?” dùng để thể hiện điều gì?,Thái độ khen ngợi.,Sự khẳng định.,"Yêu cầu, mong muốn.",Biểu hiện thái độ tiêu cực.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[B],Loài chim nào được nhắc đến trong bài đọc?,Bồ nông.,Vàng anh.,Hoạ mi.,Sơn ca.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[D],Cái gì bỗng chốc đâm những “búp vàng”?,Bỗng chốc đâm những “búp vàng”.,Đâm những “búp vàng”.,Cao vút ấy.,Những ngọn bạch đàn chanh cao vút ấy.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[D],Tiếng hót của đàn chim được mô tả như thế nào ở cuối đoạn?,"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc.","Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót.",Tiếng chim hót như những chuỗi vàng lọc nắng bay đến với Hà.,Tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.
"Bầu trời ngoài cửa sổ của bé Hà thường đầy ánh sáng, đầy màu sắc. Ở đấy, Hà thấy bao nhiêu điều lạ. Một đàn vàng anh, vàng như dát vàng lên lông, lên cánh, mà con trống bao giờ cũng to hơn, óng ánh sắc lông hơn chợt bay đến rồi chợt bay đi. Nhưng có lúc, đàn vàng anh ấy đậu lên ngọn chót vót những cây bạch đàn chanh cao nhất giữa bầu trời ngoài cửa sổ. Những ngọn bạch đàn chanh cao vút ấy bỗng chốc đâm những “búp vàng”. Rồi từ trên chót vót cao, vàng anh trống cất tiếng hót. Tiếng hót mang theo hương thơm lá bạch đàn chanh từ bầu trời bay vào cửa sổ. Đàn chim chớp cánh vàng khoe sắc với nắng rực rỡ, và tiếng chim lại như những chuỗi vàng lọc nắng bay đến với Hà. Chốc sau, đàn chim chao cánh bay đi, nhưng tiếng hót như đọng mãi giữa bầu trời ngoài cửa sổ.",[C],Nhân vật người được nhắc đến trong bài có tên là gì?,Chim vàng anh.,Chốc.,Hà.,Đàn chim.
"Chú Nga đi bộ đội
Sao lâu quá là lâu!
Nhớ chú, Nga thường nhắc: 
- Chú bây giờ ở đâu?
Chú ở đâu, ở đâu?
Trường Sơn dài dằng dặc?
Trường Sa đảo nổi, chìm
Hay Kon Tum, Đắk Lắk?
Mẹ đỏ hoe đôi mắt
Ba ngước lên bàn thờ:
- Đất nước không còn giặc
Chú ở bên Bác Hồ.",[A],Chú của Nga làm nghề gì?,Chú đi bộ đội.,Chú đi nước ngoài.,Chú đi buôn bán.,Chú đi công tác.
"Chú Nga đi bộ đội
Sao lâu quá là lâu!
Nhớ chú, Nga thường nhắc: 
- Chú bây giờ ở đâu?
Chú ở đâu, ở đâu?
Trường Sơn dài dằng dặc?
Trường Sa đảo nổi, chìm
Hay Kon Tum, Đắk Lắk?
Mẹ đỏ hoe đôi mắt
Ba ngước lên bàn thờ:
- Đất nước không còn giặc
Chú ở bên Bác Hồ.",[B],Nguyên nhân nào Nga lại nhớ chú?,Vì chú hay mua quà cho Nga.,Vì chú đi lâu quá chưa về.,Vì chú thương Nga nhất nhà.,Vì chú ít gọi điện về.
"Chú Nga đi bộ đội
Sao lâu quá là lâu!
Nhớ chú, Nga thường nhắc: 
- Chú bây giờ ở đâu?
Chú ở đâu, ở đâu?
Trường Sơn dài dằng dặc?
Trường Sa đảo nổi, chìm
Hay Kon Tum, Đắk Lắk?
Mẹ đỏ hoe đôi mắt
Ba ngước lên bàn thờ:
- Đất nước không còn giặc
Chú ở bên Bác Hồ.",[A],Thái độ của mẹ như thế nào khi Nga nhắc đến chú?,Đỏ hoe mắt.,"Thở dài, não nề.",Ngước nhìn bàn thờ.,"Tự hào, xúc động."
"Chú Nga đi bộ đội
Sao lâu quá là lâu!
Nhớ chú, Nga thường nhắc: 
- Chú bây giờ ở đâu?
Chú ở đâu, ở đâu?
Trường Sơn dài dằng dặc?
Trường Sa đảo nổi, chìm
Hay Kon Tum, Đắk Lắk?
Mẹ đỏ hoe đôi mắt
Ba ngước lên bàn thờ:
- Đất nước không còn giặc
Chú ở bên Bác Hồ.",[A],Câu nói của bố Nga có nghĩa gì?,Chú của Nga đã hi sinh.,Chú của Nga vẫn đang chiến đấu trên chiến trường.,Chú của Nga vẫn ngày đêm canh gác nơi đảo xa.,Chú của Nga vẫn còn sống.
"Chú Nga đi bộ đội
Sao lâu quá là lâu!
Nhớ chú, Nga thường nhắc: 
- Chú bây giờ ở đâu?
Chú ở đâu, ở đâu?
Trường Sơn dài dằng dặc?
Trường Sa đảo nổi, chìm
Hay Kon Tum, Đắk Lắk?
Mẹ đỏ hoe đôi mắt
Ba ngước lên bàn thờ:
- Đất nước không còn giặc
Chú ở bên Bác Hồ.",[D],Nội dung của bài thơ này là gì?,Tình cảm của cha mẹ bé Nga dành cho người chú đã hi sinh trên chiến trường và Bác Hồ vĩ đại.,Tình cảm ngây thơ và trong sáng của em nhỏ trước những tàn khốc mà chiến tranh gây ra.,Tình cảm nhớ thương của bé Nga đối với người chú đang chiến đấu anh dũng trên chiến trường.,Tình cảm tiếc thương và biết ơn sâu sắc của những người trong gia đình bé Nga đối với liệt sĩ đã hi sinh vì Tổ quốc.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[D],Cô chị nói dối ba để xin phép ba đi đâu?,Đi rạp chiếu bóng.,Đi tập văn nghệ.,Đi học thêm.,Đi học nhóm.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[B],"Mỗi lần nói dối, cô chị lại cảm thấy như thế nào?",Vui vẻ.,Ân hận.,Bình thản.,Ngượng ngùng.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[A],"Tại sao mỗi lần nói dối, cô chị lại cảm thấy ân hận?","Vì cô biết mình sai và có lỗi với ba, nhưng đều tặc lưỡi.",Vì cô đã nói dối ba rồi còn quát em gái nói dối.,Vì cô đã nói dối mà ba và em gái không hề hay biết.,Vì cô đã học sa sút đi sau mỗi lần nói dối ba để đi chơi.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[D],Hai chị em nói dối đã gặp nhau ở nơi nào?,Chỗ tập văn nghệ.,Chỗ học nhóm.,Chỗ học thêm.,Rạp chiếu bóng.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[B],Thái độ của cô chị ra sao khi gặp em ở rạp chiếu bóng?,Xấu hổ và bỏ chạy.,Giận giữ và bỏ về.,Rủ em vào cùng xem phim.,Vui vẻ và chào em.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[C],"Khi về đến nhà, cô chị có thái độ và lời nói như thế nào với cô em?",Dặn dò em phải giấu kín chuyện này với ba như một bí mật.,Mách ba rằng em trốn học đi chơi và trốn đi rạp chiếu bóng chơi.,Mắng em gái dám nói dối ba bỏ học đi chơi và không chịu học hành.,Ôn tồn hỏi han em xem đi chơi rạp chiếu bóng có vui không và xem gì.
